시즌,팀,개명 전,개명 후
2017,LG,이우찬,이영재
2017,삼성,김주온,김찬
2017,삼성,나준성,라준성
2017,두산,김승후,김진영
2017,KT,김동은,김선민
2017,롯데,오태곤,오승택
2017,KT,이구름,이성욱
2017,KT,김동욱,김동명
2017,NC,윤호솔,윤형배
2017,넥센,조태진,조성진
2017,NC,민태호,민성기
2017,KIA,고장혁,고영우
2017,LG,김지성,김영관
2018,롯데,강로한,강동수
2018,두산,최원준,최동현
2018,KIA,강이준,강찬영
2018,NC,배지환,배준빈
2018,두산,양구열,양구렬
2018,두산,현도훈,현기형
2018,롯데,이찬건,이석훈
2018,KT,김지열,김사연
2019,LG,류원석,유원석
2019,한화,백진우,백창수
2019,SK,백청훈,백인식
2019,두산,이유찬,이병휘
2019,KT,안현준,안상빈
2019,키움,김은성,김수산
2019,두산,백동훈,백민기
2019,KT,박시윤,박재영
2019,KIA,윤해진,윤완주
2020,키움,김태훈,김동준
2020,LG,윤형준,윤대영
2020,두산,이민혁,이재민
2020,KT,임지한,임성재
2020,KT,한대겸,한승훈
2020,NC,박대온,박광열
2020,KIA,변시원,변진수
